央视台,#genre#
内蒙古卫视,http://124.94.193.136:9902/tsfile/live/0109_1.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
宁夏卫视,http://110.241.188.219:808/hls/41/index.m3u8
宁夏卫视,http://124.94.193.136:9902/tsfile/live/0112_1.m3u8
甘肃卫视,http://202.100.46.58:9901/tsfile/live/1035_1.m3u8
甘肃卫视,http://101.229.227.246:7777/tsfile/live/0141_1.m3u8
甘肃卫视,http://111.61.236.247:9081/hls/54/index.m3u8
青海卫视,http://121.18.43.254:10000/hls/57/index.m3u8
青海卫视,http://110.241.188.219:808/hls/40/index.m3u8
青海卫视,http://111.61.236.247:9081/hls/49/index.m3u8
陕西卫视,http://110.241.188.219:808/hls/37/index.m3u8
陕西卫视,http://121.18.43.254:10000/hls/54/index.m3u8
陕西卫视,http://121.24.98.253:8090/hls/86/index.m3u8
河北卫视,http://121.24.98.253:8090/hls/25/index.m3u8
河北卫视,http://110.241.188.219:808/hls/18/index.m3u8
河北卫视,http://121.18.43.254:10000/hls/18/index.m3u8
山西卫视,http://110.241.188.219:808/hls/38/index.m3u8
山西卫视,http://121.24.98.253:8090/hls/35/index.m3u8
山西卫视,http://121.18.43.254:10000/hls/55/index.m3u8
山东卫视,http://121.18.43.254:10000/hls/27/index.m3u8
山东卫视,http://121.24.98.253:8090/hls/39/index.m3u8
山东卫视,http://202.100.46.58:9901/tsfile/live/1026_1.m3u8
安徽卫视,http://121.24.98.253:8090/hls/81/index.m3u8
安徽卫视,http://123.138.216.44:9902/tsfile/live/0130_1.m3u8
安徽卫视,http://121.18.43.254:10000/hls/31/index.m3u8
河南卫视,http://121.24.98.253:8090/hls/34/index.m3u8
河南卫视,http://121.18.43.254:10000/hls/35/index.m3u8
河南卫视,http://124.94.193.136:9902/tsfile/live/0139_1.m3u8
湖北卫视,http://110.241.188.219:808/hls/30/index.m3u8
湖北卫视,http://121.24.98.253:8090/hls/57/index.m3u8
湖北卫视,http://124.94.193.136:9902/tsfile/live/0132_1.m3u8
湖南卫视,http://121.24.98.253:8090/hls/56/index.m3u8
湖南卫视,http://121.18.43.254:10000/hls/19/index.m3u8
湖南卫视,http://223.112.219.174:9901/tsfile/live/0128_1.m3u8
江西卫视,http://121.24.98.253:8090/hls/55/index.m3u8
江西卫视,http://111.61.236.247:9081/hls/36/index.m3u8
江西卫视,http://121.18.43.254:10000/hls/40/index.m3u8
江苏卫视,http://121.24.98.253:8090/hls/38/index.m3u8
江苏卫视,http://123.138.216.44:9902/tsfile/live/0127_1.m3u8
江苏卫视,http://36.44.157.178:9901/tsfile/live/1006_1.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://121.24.98.253:8090/hls/79/index.m3u8
浙江卫视,http://121.18.43.254:10000/hls/20/index.m3u8
东南卫视,http://121.24.98.253:8090/hls/36/index.m3u8
东南卫视,http://111.61.236.247:9081/hls/42/index.m3u8
东南卫视,http://202.100.46.58:9901/tsfile/live/1031_1.m3u8
厦门卫视,http://124.128.73.58:9901/tsfile/live/0129_1.m3u8
厦门卫视,http://123.189.36.7:9901/tsfile/live/1054_1.m3u8
厦门卫视,http://14.204.12.226:9901/tsfile/live/0115_1.m3u8
广东卫视,http://121.18.43.254:10000/hls/28/index.m3u8
广东卫视,http://121.24.98.253:8090/hls/82/index.m3u8
广东卫视,http://123.138.216.44:9902/tsfile/live/0125_1.m3u8
深圳卫视,http://121.18.43.254:10000/hls/26/index.m3u8
深圳卫视,http://121.24.98.253:8090/hls/84/index.m3u8
深圳卫视,http://111.61.236.247:9081/hls/38/index.m3u8
广西卫视,http://110.241.188.219:808/hls/35/index.m3u8
广西卫视,http://121.18.43.254:10000/hls/53/index.m3u8
广西卫视,http://121.24.98.253:8090/hls/85/index.m3u8
云南卫视,http://101.229.227.246:7777/tsfile/live/0119_1.m3u8
云南卫视,http://123.189.36.7:9901/tsfile/live/1055_1.m3u8
云南卫视,http://121.24.98.253:8090/hls/41/index.m3u8
贵州卫视,http://121.24.98.253:8090/hls/40/index.m3u8
贵州卫视,http://123.189.36.155:9901/tsfile/live/1056_1.m3u8
贵州卫视,http://111.61.236.247:9081/hls/37/index.m3u8
四川卫视,http://121.18.43.254:10000/hls/33/index.m3u8
四川卫视,http://121.24.98.253:8090/hls/58/index.m3u8
四川卫视,http://111.61.236.247:9081/hls/35/index.m3u8
新疆卫视,http://110.241.188.219:808/hls/43/index.m3u8
新疆卫视,http://121.24.98.253:8090/hls/61/index.m3u8
新疆卫视,http://111.61.236.247:9081/hls/53/index.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,http://121.24.98.253:8090/hls/54/index.m3u8
兵团卫视,http://123.189.36.7:9901/tsfile/live/1066_1.m3u8
西藏卫视,https://tv.vtibet.cn/live/vuXz3cg3TmRUYg.m3u8?secret=e79d4bfbd28cc35ecc87433fa60e6419&time=66c84398
西藏卫视,http://110.241.188.219:808/hls/42/index.m3u8
西藏卫视,http://123.189.36.155:9901/tsfile/live/1063_1.m3u8
海南卫视,http://101.229.227.246:7777/tsfile/live/1055_1.m3u8
海南卫视,http://58.23.27.47:9901/tsfile/live/1002_1.m3u8
海南卫视,http://36.249.150.97:9901/tsfile/live/1002_1.m3u8
三沙卫视,http://101.229.227.246:7777/tsfile/live/1056_1.m3u8
三沙卫视,https://live2.hnntv.cn/srs/tv/ssws.m3u8?_upt=5daa45861724406052

数字电视,#genre#
CCTV怀旧剧场频道,http://110.241.188.219:808/hls/56/index.m3u8
CCTV怀旧剧场频道,http://111.61.236.247:9081/hls/67/index.m3u8
CCTV风云剧场频道,http://110.241.188.219:808/hls/57/index.m3u8
CCTV女性时尚频道,http://111.61.236.247:9081/hls/59/index.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

教育,#genre#
CETV1中国教育电视台一套,http://121.24.98.253:8090/hls/67/index.m3u8
CETV1中国教育电视台一套,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
CETV1中国教育电视台一套,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801_fhd.m3u8
